"filename", "language", "Dart", "comment", "blank", "total"
"d:\Inzynierka\shopify_client\test\application\auth\auth_bloc_test.dart", "Dart", 58, 0, 5, 63
"d:\Inzynierka\shopify_client\test\application\auth\auth_bloc_test.mocks.dart", "Dart", 52, 14, 8, 74
"d:\Inzynierka\shopify_client\test\application\auth\sing_in_form\sign_in_form_bloc_test.dart", "Dart", 298, 1, 25, 324
"d:\Inzynierka\shopify_client\test\application\auth\sing_in_form\sign_in_form_bloc_test.mocks.dart", "Dart", 52, 14, 8, 74
"d:\Inzynierka\shopify_client\test\domain\auth\value_objects_test.dart", "Dart", 141, 42, 12, 195
"d:\Inzynierka\shopify_client\test\domain\core\value_validators_test.dart", "Dart", 108, 30, 10, 148
"d:\Inzynierka\shopify_client\test\infrastracture\auth\firebase_auth_facade_test.dart", "Dart", 352, 48, 37, 437
"d:\Inzynierka\shopify_client\test\infrastracture\auth\firebase_auth_facade_test.mocks.dart", "Dart", 293, 20, 14, 327
"d:\Inzynierka\shopify_client\test\infrastracture\auth\firebase_user_mapper_test.dart", "Dart", 22, 3, 5, 30
"Total", "-", 1376, 172, 124, 1672